Delta_passing_attempts	Delta_passing_completions	Delta_passing_yards	Delta_passing_rating	Delta_passing_touchdowns	Delta_passing_interceptions	Delta_passing_sacks	Delta_passing_sacks_yards_lost	Delta_rushing_attempts	Delta_rushing_yards	Delta_rushing_touchdowns	Delta_receiving_targets	Delta_receiving_receptions	Delta_receiving_yards	Delta_receiving_touchdowns	Delta_kick_return_attempts	Delta_kick_return_yards	Delta_kick_return_touchdowns	Delta_punt_return_attempts	Delta_punt_return_yards	Delta_punt_return_touchdowns	Delta_defense_sacks	Delta_defense_tackles	Delta_defense_tackle_assists	Delta_defense_interceptions	Delta_defense_interception_yards	Delta_defense_interception_touchdowns	Delta_defense_safeties	Delta_point_after_attemps	Delta_point_after_makes	Delta_field_goal_attempts	Delta_field_goal_makes	Delta_punting_attempts	Delta_punting_yards	Delta_punting_blocked	Delta_Score
-2	-1.8	-3.8	-6.08000000000002	-0.2	-0.6	0.2	6.8	-8.6	-54.6	-0.4	0	-2	-3.8	-0.2	0.6	14.8	-0.2	-1.2	-17	0	-0.2	0	0	0.6	3.8	0	0	-0.4	-0.4	-0.6	-0.2	2.4	77.6	0	7
-3.2	-2.4	-5.2	-3.80000000000001	0.4	-0.4	0.4	8.4	-11.6	-49	-0.8	-0.8	-3.2	-5.2	0.4	-0.2	13	0	-1.2	-17.8	0	-0.4	0	0	0.4	-6.4	0	0	-0.4	-0.4	-0.8	-0.2	2	83.2	0.2	-8
-2	-3.6	-14.8	7.77999999999999	0.6	-0.8	0.4	3.2	-4.6	-20.4	-0.6	-2.2	-2	-14.8	0.6	-1	-6.2	0	-1	-19.4	0	-0.4	0	0	0.8	3	0	0	0.2	0.2	-0.4	-0.2	1	42.2	0.2	14
3	7	11.6	-2.00000000000002	0.2	-1.2	0	2.6	-5	-27.6	-0.4	7.4	3	11.6	0.2	-0.6	-7	0	0	-12.4	0	0	0	0	1.2	-0.2	0	0	0	0	0.6	0.4	0.6	35.4	0.2	3
2.6	5.6	-7.4	1.93999999999998	0	-1.6	0.2	3	-5.8	-43.2	-0.4	5.6	2.6	-7.4	0	-0.6	-6.2	0	0.6	-3	0	-0.2	0	0	1.6	9.4	0	0	0	0	0.4	0.2	0.8	47.6	0.2	-13
1.2	4.8	-7.8	-2.94000000000001	0	-0.8	0	1.4	-3.2	-31.4	-1	4	1.2	-7.8	0	0.2	-1.6	0	1.2	9.4	0	0	0	0	0.8	2.4	0	0	-0.8	-0.8	0.4	0.2	-0.2	2.2	0.2	-21
-0.8	1.6	-56.4	-11.86	-0.6	-0.8	0	0.4	-4	-36.8	-0.8	0.8	-0.8	-56.4	-0.6	1.4	21.2	0	0.8	10.2	0	0	0	0	0.8	12.6	0	0	-1	-1	0.2	-0.2	0.8	40	0	-21
-0.8	3.2	-35	-36.74	-0.6	-0.2	1.2	9.2	-4.6	-27.4	-0.8	2.6	-0.8	-35	-0.6	2	21	0	0.6	-5	-0.2	-1.2	0	0	0.2	-5.6	0	0	-1.4	-1.4	0	0	1	54.8	0	3
-4.2	-4.2	-70.4	-35.86	-0.2	0.6	2.2	15.8	-6.8	-27.8	-1	-4.4	-4.2	-70.4	-0.2	2.4	22.6	0	-0.2	-11.4	-0.2	-2.2	0	0	-0.6	-11.6	0	0	-1.4	-1.4	-1.4	-0.8	1.4	69.6	0	-3
-1	0.6	-58	-65.04	-0.4	1.6	2.2	17.8	-4.6	-9.6	-1.2	0.8	-1	-58	-0.4	2.6	39.4	0	-0.6	-20.6	-0.2	-2.2	0	0	-1.6	-15	0	0	-2.2	-2.2	-0.8	-0.6	0.8	55.2	0	-38
-0.4	0.6	-45.6	-53.8	-0.2	1.2	2.4	18.8	-1.6	1.4	-0.6	0.6	-0.4	-45.6	-0.2	1.4	21	0	-1.4	-34.6	-0.2	-2.4	0	0	-1.2	-11.4	0	0	-1.4	-1.4	-0.8	-0.6	1	73.4	0	7
4.4	6.4	27.8	-44.48	0.4	1.6	2.4	20.2	-1.8	-12.2	-0.4	6.2	4.4	27.8	0.4	1.6	35.8	0	-0.8	-31.8	-0.2	-2.4	0	0	-1.6	-35	0	0	-1	-1	-1	-0.8	0.2	38.4	0.2	-8
3.4	5	1	-41.78	0.2	1.6	1	10.2	-1.6	-5.6	-0.4	4.6	3.4	1	0.2	1.6	48.4	0	-1	-17.8	0	-1	0	0	-1.6	-28.8	0	0	-1	-1	-0.2	-0.4	0	25.2	0	3
4.2	5.6	20	-33.52	0.2	1.2	0.2	8.4	4	16.6	-0.4	5.4	4.2	20	0.2	1.2	50	0	-0.4	-19.2	0	-0.2	0	0	-1.2	-19.2	0	0	-1	-1	0.6	0	-0.4	8.6	0	3
-1.4	-2.6	-9.4	8.75999999999999	0.8	0	-0.8	0.2	6	33.8	-0.2	-3	-1.4	-9.4	0.8	0	16.4	0	0.2	-6.8	0	0.8	0	0	0	-8.8	0	0	0	0	0.4	0	-0.2	-1	0	-3
-2	-3.6	-27.8	4.17999999999999	0.6	0	0	4.4	8.6	51.6	0	-3.8	-2	-27.8	0.6	0.8	30.2	0	0.6	2	0	0	0	0	0	-14.6	0	0	-0.2	-0.2	0.4	-0.2	-0.2	-11	0	-3
