Delta_passing_attempts	Delta_passing_completions	Delta_passing_yards	Delta_passing_rating	Delta_passing_touchdowns	Delta_passing_interceptions	Delta_passing_sacks	Delta_passing_sacks_yards_lost	Delta_rushing_attempts	Delta_rushing_yards	Delta_rushing_touchdowns	Delta_receiving_targets	Delta_receiving_receptions	Delta_receiving_yards	Delta_receiving_touchdowns	Delta_kick_return_attempts	Delta_kick_return_yards	Delta_kick_return_touchdowns	Delta_punt_return_attempts	Delta_punt_return_yards	Delta_punt_return_touchdowns	Delta_defense_sacks	Delta_defense_tackles	Delta_defense_tackle_assists	Delta_defense_interceptions	Delta_defense_interception_yards	Delta_defense_interception_touchdowns	Delta_defense_safeties	Delta_point_after_attemps	Delta_point_after_makes	Delta_field_goal_attempts	Delta_field_goal_makes	Delta_punting_attempts	Delta_punting_yards	Delta_punting_blocked	Delta_Score
-1.8	-1	-1.2	-48.6	-0.4	0.8	-0.6	-2.8	9.2	69.2	0	-1.2	-1.8	-1.2	-0.4	0.2	1	0	-0.8	-10.4	0	0.6	-4.8	-6.2	-0.8	-15.8	0	0.2	-0.2	0	1.2	0.8	-1.4	-31	0	2
-5.2	-4.6	-50.4	-58.92	-0.2	0.2	-1.2	-8.4	9.6	71.4	0	-4.8	-5.2	-50.4	-0.2	-0.2	-7	0	-0.6	-6	0	1.2	-2.6	-7.4	-0.2	-21.8	0	0.2	0.2	0.2	1.2	0.8	-0.4	12.8	0	7
-5.6	-6.4	-38.8	-18.82	0.6	0.4	-1.4	-12.8	15.6	104.4	-0.2	-5.8	-5.6	-38.8	0.6	-0.8	-16.6	0	-0.2	-18.2	-0.2	1.2	-4.8	-10.6	-0.4	-29.4	0	0.4	0.2	0.2	1	0.8	-0.4	15.2	0	1
-2.2	-3.6	8.8	-9.36000000000002	0.6	0.4	-1.6	-15.4	14.8	88.6	0.6	-3	-2.2	8.8	0.6	-1.8	-45.6	0	-0.8	-27	-0.2	1.4	-6.4	-6.4	-0.4	-26	0	0.4	0.8	0.8	0.6	0.4	-0.2	37.8	0	20
-0.2	-1	26	-6.28000000000002	0.6	0.2	-1	-6.6	12.2	86.8	0.6	-1	-0.2	26	0.6	-1.2	-33.2	0	0	-16.4	-0.2	0.8	-6.2	-6.6	-0.2	-22.2	0	0.4	0.4	0.4	0.4	0.2	-1.2	-16.8	0	-7
-2	-4.2	-1.2	-28.22	0.6	0.2	-0.8	-4	10.2	74.8	0.8	-4.6	-2	-1.2	0.6	-1	-35.6	0	-0.2	-12.6	-0.2	0.6	-2.8	-4	-0.2	-31.2	0	0.2	0.6	0.6	-0.4	-0.2	-1	-17.8	0	1
0.6	1.4	7.8	-25.48	0.2	0.4	-0.8	-0.8	8.6	68	1	0.8	0.6	7.8	0.2	0.2	-4.8	0	-1	-35.4	-0.2	0.6	-4.8	-4.4	-0.4	-32	0	0.2	0.4	0.4	-1.2	-1	-0.6	-1.4	0	-12
2.4	5.2	27.2	-24.84	-0.2	-0.2	-0.2	5.8	4.2	46	1	3.8	2.4	27.2	-0.2	0.2	12.2	0.2	-1	-19.8	0	0.2	-4.4	-0.8	0.2	-15	0	0	0.4	0.4	-0.6	-0.6	-0.8	-29.8	0	3
1	5	-6.8	-21.58	0.2	0	-1.6	1	4.2	27.2	0.6	3.4	1	-6.8	0.2	0.8	22.8	0.2	-0.6	-5	0	1.6	-2	-4	0	-18.6	0	0.2	0.4	0.4	-1.2	-1.2	-0.2	-21.2	0	7
-2.2	-0.2	-48	-18.86	0.2	0	-1.8	-4.4	7	31.8	0.4	-0.8	-2.2	-48	0.2	0.2	10.6	0.2	-0.6	-0.6	0	1.8	-2.4	-3.2	0	-18.6	0	0.2	0.4	0.4	-0.8	-0.6	0.4	-2.4	0	2
-3.4	-3.4	-26	22.82	0.2	-0.2	-2.2	-10.4	9.4	48.6	0.6	-3.8	-3.4	-26	0.2	-0.6	-8.8	0.2	0.2	-2	0	2.2	-2	-3.6	0.2	-9.2	0	0.2	0.6	0.6	-0.2	0	-0.2	-20.8	0	17
0	-2.8	13	64.78	1.4	-0.4	-1.8	-10	12.2	63.6	0	-3	0	13	1.4	-2	-43.6	0.2	1.2	23	0	1.8	-6.6	-6.4	0.4	-0.4	0	0.2	1.6	1.6	0.4	0.6	-1.4	-86.4	0	26
1	-2	40.8	76.22	1.8	-0.8	-2.6	-13.6	16.6	79.6	0.2	-1.8	1	40.8	1.8	-3.4	-108.2	0	0.4	14.4	0	2.6	-9.4	-7.8	0.8	-0.8	0	0.2	2	2	0.4	0.8	-1.4	-77.2	0	26
1.6	-0.6	81.2	53.3	1.6	-0.4	-0.8	-5.2	16.6	88	0.4	-0.2	1.6	81.2	1.6	-3.8	-104.6	0	1	16.8	0	0.8	-10	-7.2	0.4	-1	0	0	2	2	1	1.4	-2.8	-129.8	0	20
4.8	4	140.8	65.9	2.2	-0.6	-1.4	-9.6	18	89.6	0.8	3.8	4.8	140.8	2.2	-4.6	-115.2	0	1.6	16.4	0	1.4	-11.4	-10	0.6	-1	0	0	3	3	1.2	1.4	-3.4	-152.8	0	37
5.2	5.8	124	62.4	3	-0.8	-1.6	-10.8	17.8	81.2	0.4	5.8	5.2	124	3	-5.6	-123.6	0	1	18	0	1.6	-10.4	-14.4	0.8	1	0	0	3.4	3.4	1	1.4	-2.4	-115.6	0	31
6	9.2	134.4	17.58	1.8	0	-1.4	-8.2	13.6	57.2	0.8	9.2	6	134.4	1.8	-5	-108.6	0	1.4	17.4	0	1.4	-8.8	-12	0	-2.4	0	0	2.2	2.2	1.4	1.8	-2.8	-117.8	0	-4
2	2.4	78.2	9.15999999999998	1.4	0.4	-0.6	-4.6	11.2	58	1	2.2	2	78.2	1.4	-4.2	-81.8	0	2.6	24	0	0.6	-4	-9.8	-0.4	-3.2	0	0	2.2	2.2	0.8	1.4	-2.6	-106	0	14
-0.2	-0.6	40	20.92	1	-0.2	-0.2	0.4	8.6	53.6	0.8	-0.8	-0.2	40	1	-3.8	-60.6	0.2	2.4	17.4	0	0.2	-3	-6.2	0.2	-1	0	0	1.8	1.8	0.6	1.2	-1.8	-81.8	0	3
2	1.6	51.8	-18.92	0.4	0.4	-0.2	3.6	4.4	40.2	1	1.6	2	51.8	0.4	-2.6	-51.8	0	2.8	28.6	0	0.2	-2.4	-6	-0.4	-15.6	0	0	1	1	0.2	0.8	-1.6	-72.8	0	3
2.2	5	25	-68.1	-1.2	0.8	0	3.6	0.4	37.2	1	4.8	2.2	25	-1.2	-0.4	-20.8	0	2.8	27.2	0	0	-1.4	0.2	-0.8	-20.4	0	0	-0.6	-0.6	0.4	0.6	-2	-88.6	0	-28
-0.4	0.4	8.6	-53.78	-0.8	0.8	-0.2	3.2	3	55.2	1.4	0.6	-0.4	8.6	-0.8	-1.2	-26.2	0	2.4	27	0	0.2	-0.6	0.6	-0.8	-24.2	0	0	0.2	0.2	0.4	0.6	-1.6	-75.8	0	24
-0.2	1.8	3.6	-46.54	-1	0.6	0.2	4.6	-0.4	0.8	0.6	2.4	-0.2	3.6	-1	0	14.8	0	2	36.4	0	-0.2	0.4	-0.2	-0.6	-20.8	0	0	-0.8	-0.8	0.8	0.8	-0.6	-32.2	0	-18
3	6.2	23.6	-41.98	-1	1.4	0.2	5.2	-2.2	2.6	0.6	7.2	3	23.6	-1	1.4	10	-0.2	1.4	20	-0.2	-0.2	0.8	0	-1.4	-33.8	0	0	-1.2	-1.2	-0.2	-0.2	0	-11.6	0	-26
-1.8	2	-29.4	-21.78	-1.4	0.8	0.8	6.8	0.8	13.4	0.4	3.4	-1.8	-29.4	-1.4	1.2	17.2	0	0.2	-0.6	-0.2	-0.8	1.4	2	-0.8	-12.8	0	0	-1.4	-1.4	-0.2	-0.2	0.8	21.8	0	-4
-2.6	-1.2	-43.2	9.31999999999997	-0.8	0.6	1	7.6	4	35.4	0.6	0.2	-2.6	-43.2	-0.8	0.4	20.8	0	0.4	11.4	-0.2	-1	-1.8	1.8	-0.6	-10	0	0	-0.6	-0.6	-0.4	-0.4	0.6	7.8	0	-3
-5.2	-6.2	-66	11.9	-1	-0.6	0.4	0	3.2	29.2	0.6	-5	-5.2	-66	-1	0.6	10.4	0	0.6	17.8	-0.2	-0.4	1.4	2.2	0.6	11.6	0	0	-0.6	-0.6	-0.2	-0.4	1.8	63.8	0	24
-6.4	-5.4	-77	-12.56	-1	0	-0.6	-8.8	5.4	80.4	1.2	-4.2	-6.4	-77	-1	0	-9.4	0	0.2	-3.4	-0.2	0.6	1	4.6	0	4.6	0	0	0	0	-0.8	-1	1.4	33.6	0	-6
-7.2	-5.2	-67.2	-28.6	-0.4	0.2	-1	-14.6	3.8	70.8	0.8	-4.6	-7.2	-67.2	-0.4	-0.8	-18.2	0	1	9.6	0	1	1.8	7.6	-0.2	7	0	0	0.4	0.4	-0.6	-0.6	0.2	-10.8	0	-6
-2.4	1.6	-26.8	-18.8	0	0.8	-0.8	-12.6	0.6	50.4	0.6	1.2	-2.4	-26.8	0	-0.2	-7.6	0	1	14.8	0	0.8	1.6	5.8	-0.8	-6.6	0	0.2	0.6	0.6	-0.6	-0.6	0.2	-9.2	0	-3
-4	1.8	-51.8	-31.44	-0.4	1	0.2	-5.4	-4.2	16.8	0.2	1.2	-4	-51.8	-0.4	-0.8	-33	0	0.4	-4.8	0	-0.2	4.4	9.4	-1	-6.6	0	0.2	-0.2	-0.2	-0.2	0	1.6	59.6	0	-22
-0.2	10.6	-21.2	-40.14	-0.6	2	-0.2	-6.6	-6.4	-4.8	-0.2	9.8	-0.2	-21.2	-0.6	-0.4	-14.8	0	-0.4	-14.6	0	0.2	2.6	9.8	-2	-25.8	0	0.2	-1	-1	-0.2	0	0.6	9.8	0	-4
1.4	7.8	4	-20.8	-0.8	1.6	0.2	-4.2	-8.4	-23.6	0	6.8	1.4	4	-0.8	0	-2.8	0	-0.8	-8.2	0	-0.2	3.4	6.2	-1.6	-20.6	0	0.2	-0.6	-0.8	0.4	0.6	0.6	18.8	0	3
0.4	5.8	-6.6	-8.30000000000002	-0.8	0.8	-0.6	-6.6	-0.8	-4.6	0.4	5	0.4	-6.6	-0.8	-0.4	-23.6	0	-1.8	-13.8	0	0.6	2.8	0.4	-0.8	-7.2	0	0.2	-0.2	-0.4	0.6	0.8	1.4	56	0	11
-4.4	-3.4	-39.2	-29.14	-0.8	0.6	-1	-13	2	24.2	0.8	-3.6	-4.4	-39.2	-0.8	-1	-31.6	0	-1.8	-19.4	0	1	5.8	-1.2	-0.6	-1.2	0	0	0.2	0	1	1.2	0.8	34.4	0	23
-4.2	-5.4	-21.6	-22.58	-0.2	0.6	-2.6	-20	6.2	43.4	1	-5.6	-4.2	-21.6	-0.2	-0.2	-12.4	0	-1.8	-11.8	0	2.6	6.8	-7.2	-0.6	5	0	0	1.2	1	0.6	0.8	-0.2	-13.6	0	7
-5.4	-9	-37.4	-24.32	-0.4	0.4	-1.2	-9.2	1.8	42.2	0.8	-9.4	-5.4	-37.4	-0.4	0.2	-7.6	0	-1.4	-5	0	1.2	7.8	-1.4	-0.4	9.8	0	0	1.2	1	-0.2	0.2	0	-12.6	0	-19
-5.6	-8.6	-61	-24.2	-0.2	0.2	-1.2	-7.8	6.2	67.4	0.6	-9	-5.6	-61	-0.2	0.4	-9.8	0	-1.2	-13.8	0	1.2	4.8	-2	-0.2	10.4	0	0	0.6	0.6	0.2	0.6	-0.4	-15.2	0	10
-8.4	-15.8	-106.4	-52.42	-0.8	0.2	-0.8	-3.2	6	66.6	0.8	-15.8	-8.4	-106.4	-0.8	0.2	6.4	0	-1.8	-20.6	0	0.8	5.4	-2.2	-0.2	25.6	0	0	0.4	0.4	0.6	0.8	-0.4	-3.2	0	7
-10	-15.6	-137.4	-42.2	-1.2	0	-1.4	-4.4	7.8	71	0.8	-15.2	-10	-137.4	-1.2	1.2	35.6	0	-1.8	-16.4	0	1.4	3.8	-0.2	0	26.8	0	0	0	0	0.2	0.4	0.2	24.4	0	3
-7.8	-14.4	-117.4	-62.94	-2	-0.6	0	0.4	10.4	69.2	1.4	-13.6	-7.8	-117.4	-2	1.4	39.2	0	-1.4	-18.6	0	0	-0.4	-2.6	0.6	25.2	0	0	-0.4	-0.4	0.6	0.6	0.4	33.4	0	-4
-11.8	-19.4	-142.2	-50.5	-1.4	-1	-1.2	-8.2	15.2	86.6	1.4	-17.6	-11.8	-142.2	-1.4	1.4	41	0	-1.4	-25.2	0	1.2	2.8	-7.8	1	25.2	0	0	0	0	1.2	1	0.4	49	0	7
-8.6	-13.8	-120.8	-66.36	-1.6	-0.4	-0.8	-2.8	6.6	48.2	0.8	-12	-8.6	-120.8	-1.6	0.4	24	0	-1.8	-21.2	0	0.8	5.6	-5.8	0.4	12.2	0	0	-0.6	-0.6	0.8	0.6	0.8	66	0	-25
-7.2	-8.2	-102.2	-49.7	-1.6	-0.2	-0.4	-2.8	-2	23.4	0.6	-7	-7.2	-102.2	-1.6	1.6	74.2	0.2	-1.2	-28.2	-0.2	0.4	8.4	-1.4	0.2	-7.8	0	0	-1	-1	0.4	0.2	1.4	84.2	0	-13
-5.4	-7.8	-88	-29.66	-1.6	0	-0.2	-4.6	-8.6	-25.6	0.8	-6.8	-5.4	-88	-1.6	1.6	62	0.2	-1	-20.4	-0.2	0.2	8.2	7.6	0	-13.8	0	0	-0.8	-0.8	0.2	0	1	63.2	0	7
-4.2	-4.2	-81.6	5.57999999999997	-1	0.6	-0.6	-1.4	-8.4	-9.6	0.4	-3.6	-4.2	-81.6	-1	1	37.2	0.2	-0.8	-15.8	-0.2	0.6	6	9.2	-0.6	-28.2	0	0	-0.6	-0.6	0	0	0.4	48	0	3
-1	-1.6	-63.8	1.63999999999997	-1.4	0.8	0	-0.2	-4.8	-22	1.2	-1.8	-1	-63.8	-1.4	1.4	19.2	0.2	-0.8	-12.8	-0.2	0	-0.4	7.4	-0.8	-22.6	0	0	0.2	0.2	-0.2	-0.2	0	29.6	0	18
-3.8	-5.2	-69.2	11.26	-1	0.6	-0.8	-7.6	0	11.4	1.8	-5.6	-3.8	-69.2	-1	2.2	31.6	0.2	0	5.4	-0.2	0.8	0.2	6.8	-0.6	-18.6	0	0	1.2	1.2	-0.8	-0.8	-0.4	-12.6	0	1
-0.8	-0.6	-30.6	7.29999999999997	-0.6	1.4	0	-3.2	1	6.4	1.4	-0.8	-0.8	-30.6	-0.6	2	-1.2	0	-0.2	13	0	0	-1.6	4.4	-1.4	-30.6	0	0	1	1	-0.8	-1	-1.2	-46.4	0	-23
-1.4	-0.8	-14.8	-8.08000000000002	-1	0.8	0.4	1.6	7.8	50	1.6	-1	-1.4	-14.8	-1	1.2	-1.2	0	-0.2	10.8	0	-0.4	-1.8	-5.2	-0.8	-24.6	0	0	0.6	0.6	0.2	-0.2	-1.4	-62.2	0	13
-0.6	-1	0.2	-20.52	-1	1.2	1	0	2.8	21.6	1.2	-1	-0.6	0.2	-1	1.8	19	0	-0.4	11	0	-1	0.6	-2.4	-1.2	-19.2	0	0	0.2	0.2	-0.2	-0.4	-1.2	-74.2	0	-14
1.8	4.4	12.8	-23.5	-0.8	1	0.6	2	-2	16	0.6	4.4	1.8	12.8	-0.8	1.6	30.6	0	-0.8	10	0	-0.6	2.6	0.4	-1	-24.6	0	0	-0.6	-0.6	-0.6	-0.6	-0.2	-39.2	0	3
2.6	6	18.6	-25.24	-0.8	1	1.2	7.8	-3	-14.8	0.2	6	2.6	18.6	-0.8	2.2	49.6	0	-1.4	-7.4	0	-1.2	-0.6	2.8	-1	-16.2	0	0	-1.2	-1.2	0	0	0	-15	0	-3
1	0.2	-3.2	-1.44000000000002	-0.6	0	0	0.6	-1.2	-12.8	0.4	0.2	1	-3.2	-0.6	1.2	36.8	0	-0.4	12.6	0	0	-1.4	4	0	0.4	0	0	-0.2	-0.2	0.2	0.4	0.4	2.6	-0.4	18
2.4	2	4	2.27999999999998	0.2	0.4	0.2	2.6	-8.4	-47.2	-0.2	1.8	2.4	4	0.2	1.8	33.4	0	-0.8	7.4	0	-0.2	0.6	8	-0.4	5.8	0	-0.2	0.4	0.4	-1.2	-1.2	0.8	33	-0.4	6
0.4	-1	10.8	13.72	0.6	0	-0.4	2	-4	-36.6	0	-1.2	0.4	10.8	0.6	1.4	17.8	0	-0.6	12.4	0	0.4	0.4	6.4	0	4	0	-0.2	1	1	-1.2	-1.4	0.6	26.8	-0.4	4
-4.8	-10.8	-19.2	22.28	0.4	0	0.2	4.2	1.6	0	0.2	-10.8	-4.8	-19.2	0.4	0.8	9.4	0	0.2	18.4	0	-0.2	0	4	0	6	0	-0.2	1	1.2	-0.6	-0.8	-0.2	-3.2	-0.4	10
-7.8	-15.6	-57	-7.80000000000002	0	-0.2	-0.8	-4.2	3.6	23.2	1	-15.4	-7.8	-57	0	0	-9	0	1	29.6	0	0.8	4.6	1.8	0.2	24.2	0	-0.2	1.8	2	-0.6	-0.8	-0.6	-24.8	-0.4	17
-8.2	-14	-52.4	-24.26	-0.2	0.4	-0.6	-3.2	8.8	45.8	1	-13.2	-7.8	-47.8	-0.2	0.4	-3.6	0	0.6	18.6	0	0.6	1.2	-0.8	-0.4	18.6	0	-0.2	1.2	1.4	0	-0.2	-1.4	-59.6	0	6
-9	-14.8	-65.2	-23.1	-0.4	0.6	-0.6	-2.6	11.4	53.6	1.2	-13.6	-8.6	-60.6	-0.4	0.8	14.2	0	0.8	21.8	0	0.6	1	-1.6	-0.6	13.2	0	0	1	1.2	-0.2	0.2	-1.2	-64.8	0	3
-6	-11.8	-55.8	-15.42	-0.8	0.4	0	1.4	5.8	43.2	1.4	-10.8	-5.6	-51.2	-0.8	1.4	35.6	0	0.6	13.8	0	0	1.2	-0.6	-0.4	19.4	0	0	0.8	1.2	-0.8	-0.6	-0.6	-31	0	-17
-3.2	-4.8	-60.4	-49.66	-1.2	0.8	0.4	3.2	-3.4	-17.4	0.6	-4	-2.8	-55.8	-1.2	2.6	71.2	0.2	-0.2	6	0	-0.4	5.2	1.8	-0.8	12.2	0	0	-0.2	0	-1.2	-1	0.6	18.2	0	-31
-2.4	-5	-22.8	-1.40000000000002	-0.4	0.6	0.4	4.8	-0.8	-25	0.2	-4	-2	-18.2	-0.4	1.6	38.2	0.2	-0.6	-1.6	0	-0.4	1.6	1	-0.6	-5.4	0	0	0	0.2	-1.4	-1.2	0.8	31.4	0	21
-2.4	-5.6	-43	-19.06	-0.6	-0.4	0.2	2.2	-0.2	-5	0.8	-5.2	-2.4	-43	-0.6	0.6	14	0.2	-0.8	-1.8	0	-0.2	1.8	2.4	0.4	10.8	0	0	0.4	0.8	-1	-0.8	0.8	29.4	0	32
-1	-4.8	-40.4	-21.64	-0.8	-0.8	0.4	3.2	0.2	-9.8	0.6	-4.4	-1	-40.4	-0.8	0.2	5.4	0.2	-1	-5	0	-0.4	0	0.2	0.8	15.6	0	0	0	0.4	0.2	0	0.8	36	0	-1
-2.4	-6.6	-42.6	-22.22	-0.4	-1	-0.6	-3.4	3.2	-14.4	0.2	-6	-2.4	-42.6	-0.4	-0.2	2	0.2	-1	-3.6	0	0.6	0	0.4	1	16.4	0	0	0	0.2	1.4	1.2	1.8	72	0	3
-1.4	-8.4	-11.2	11.54	0.4	-1.4	-1	-5.4	10.2	19.2	0.8	-7.8	-1.4	-11.2	0.4	-1.4	-42.2	0	-0.4	-0.6	0	1	-3.6	-3.8	1.4	27.2	0	0	1.2	1.4	1.8	1.4	0.8	28.2	0	14
1	-7.4	6.2	12.74	0.2	-1.4	-0.6	-3.6	11.6	19.6	0.8	-7.2	1	6.2	0.2	-0.6	-19.6	0	-0.2	10	0.2	0.6	-6.2	-5.6	1.4	27	0	0	1.2	1.4	1.4	1.2	1	29.4	0	18
3.6	-4.8	43.8	39.02	0.2	-1	-0.2	0.6	7.6	-9.6	0.4	-4.2	3.6	43.8	0.2	0.4	9.6	0	0.8	18.4	0.2	0.2	-7.6	-3.6	1	15.2	0	0	0.8	1	0.4	0	1.2	22	0	-6
2.8	-6.4	37.2	41.46	0.2	-1.2	-0.8	-4.8	6.6	-14.4	0.4	-6	2.8	37.2	0.2	0	10	0.2	1	18.8	0.2	0.8	-6	-1	1.2	30.4	0	0	1	1.4	-0.2	-0.4	1	23.2	0	6
6.6	0.4	45.4	54.28	0	-1	-0.6	-3.2	5	-14.4	0.4	0.8	6.6	45.4	0	0.2	12.4	0.2	1.4	18	0.2	0.6	-8.8	-1.4	1	29.6	0	0	0.6	1	0	-0.2	-0.2	-42	0	-2
8.6	5	53.4	38.34	-0.6	-0.6	0.4	5.4	-4.2	-45	-0.2	5.4	8.6	53.4	-0.6	0.8	42.8	0.2	1	9.4	0.2	-0.4	-7.4	5.2	0.6	23.8	0	0	-0.6	-0.2	-0.2	-0.2	-0.2	-35	0	-28
10.4	10.2	56.2	9.43999999999998	-0.4	-0.6	0.4	6.2	-10.6	-64.2	-0.2	10.6	10.4	56.2	-0.4	0.4	32	0.2	1	7.8	0	-0.4	-6	12.8	0.6	24.2	0	0	-0.4	0	0.2	0	-0.4	-45.6	0	28
8.8	8.4	56.4	13.94	0.2	-0.4	0.2	4	-8.8	-46.6	-0.4	8.4	8.8	56.4	0.2	0.6	34.8	0.2	0.4	3.8	0	-0.2	-4.8	12	0.4	20.8	0	0	-0.2	0.2	0.2	0.2	-0.4	-39.2	0	10
8.2	9	70.4	19.28	0.6	-0.6	0.2	5.4	-2.4	-14.2	-0.2	8.8	8.2	70.4	0.6	0.2	12	0	0.4	4	0	-0.2	-8	8.8	0.6	14	0	0	0.2	0.4	0.4	0.4	-0.4	-47.8	0	17
3.4	3	49.6	-4.50000000000003	0.6	-0.6	-0.6	-2.6	-2.4	-5.6	0	2.8	3.4	49.6	0.6	0.4	17.6	0	1	8.4	0	0.4	-4.2	12	0.6	14	0	0	0.8	1	-0.4	-0.4	-1	-62	0	-7
2	0.4	54.2	-0.960000000000025	1	-1.2	-2.4	-15.2	5.4	27.8	0.6	-0.4	2	54.2	1	-0.4	-9.2	0	1.2	11.8	0	2.2	-7	9.6	1.2	16	0	0	1.8	2	0	0	-1.4	-87.4	0	13
-1.8	-4	34.4	10.44	0.4	-0.8	-3	-21.8	9.8	60.6	0.6	-4.6	-1.8	34.4	0.4	-0.8	-13.4	0	1.6	19.4	0	2.8	-5.8	4	0.8	8.6	0	0	0.8	1.2	0.6	0.6	-2	-111	0	8
-1	-2.8	34.4	7.09999999999998	0.2	-0.8	-3.4	-24.6	11.6	72	0.8	-2.8	-0.8	36	0.2	-1.4	-35.6	0	1.2	16.6	0	3.2	-7	1.6	0.8	8.6	0	0	1	1.2	1.4	1	-2.4	-117.6	0	17
0	-0.8	5.8	-13.66	-0.2	0.2	-3	-22.2	3.6	43.2	0.2	-1.4	0.2	7.4	-0.2	-0.8	-7	0.2	1.2	12.8	0	2.8	-4.4	3.2	-0.2	-6.6	0	0	0.2	0.4	0.6	0.8	-2	-99	0	-14
1.8	3	13	1.17999999999998	-0.2	0	-2.2	-15.6	3.6	29.8	-0.4	-1.2	2	14.6	-0.2	-1.2	-21.6	0.2	0.8	10.8	0	2.2	-5.6	-0.4	0	-0.4	0	0	-0.4	-0.4	1.6	1.2	-1.4	-62.8	0	-20
2.2	5.6	-3.2	-7.06000000000003	-0.8	0.6	-1.4	-11.6	-2.8	-4.2	-0.8	-0.8	2.4	-1.6	-0.8	0	6	0.2	1	13.8	0	1.4	-3.4	-1.2	-0.6	-8.4	0	0	-1.6	-1.6	1.8	0.8	-0.8	-38.6	0	-35
4.8	9	21.8	-19.2	-0.8	-0.2	-0.4	-3.2	-6.8	-44.4	-1	0.8	5	23.4	-0.8	0.8	27.6	0.2	0.6	1.2	0	0.4	-3.2	-0.8	0.2	1.8	0	0	-1.6	-1.8	2	0.4	0	1.2	0	-4
2	4.8	-17.4	-26.52	-1.4	-0.2	0	0	-8.6	-66.4	-1.2	0	2	-17.4	-1.4	1.2	54.2	0.4	0.8	0.4	0	0	0	0	0.2	5.6	0	0	-1.8	-2	1.6	0.2	0.2	22.8	0	7
3.4	7.4	6.2	-1.46000000000002	-1	-0.4	0	0	-10.6	-89.2	-1.4	0	3.4	6.2	-1	1.6	58.2	0.2	0.2	-0.2	0	0	0	0	0.4	9.4	0	0	-1.8	-2	2	0	0.6	43.4	0	-17
4	7	20.6	-25.7	-1	-0.2	0	0	-10	-82.2	-0.8	0	4	20.6	-1	1.4	51.2	0.2	0	0.2	0	0	0	0	0.2	3.2	0	0	-1.4	-1.4	1.6	0.2	0	12.6	0	3
3.8	6.4	14.2	-24.42	-0.6	0	0	0	-6.6	-69.8	-0.6	0	3.8	14.2	-0.6	1	44	0.2	-0.2	-1.6	0	0	0	0	0	0	0	0	-0.8	-0.8	1.4	0.2	-0.2	14.8	0	-14
2.8	4.2	-10	7.33999999999997	-0.4	0.6	0	0	-3.2	-30.2	-0.4	0	2.8	-10	-0.4	0.2	28.4	0.2	-0.6	-10.4	0	0	0	0	-0.6	-4	0	0	-0.2	-0.2	0.8	0.4	-0.8	-6.6	-0.2	20
6.4	7.2	40.6	46	0.2	0.6	0	0	-3.4	-38.6	-0.6	0	6.4	40.6	0.2	-0.4	-3.2	0	-0.8	-34.8	-0.2	0	0	0	-0.6	-6.2	0	0	-0.6	-0.6	0.8	0.8	-0.2	9.2	-0.2	-1
6.4	7.4	56	39.08	0.2	1	0	0	-0.2	-6.6	-0.2	0	4.6	40.4	0.2	-1.2	-28	0	0.4	-24.6	-0.2	0	0	0	-0.6	5.2	0	0	-0.2	-0.2	1	1.2	-1	-29.6	0	3
4.4	4.8	18.8	62.96	-0.2	1.4	0	0	0.6	-23.4	-0.2	0	2.6	3.2	-0.2	-1.6	-32.8	0	0.6	-27.2	-0.2	0	0	0	-1	5.8	0	0	-0.6	-0.6	1.2	1	-0.2	-12	0	-14
5	5.2	53.8	67.82	0	1.8	0	0	-2	-29.6	-0.2	0	3.2	38.2	0	-1.4	-39	0	1	-25.8	-0.2	0	0	0	-1.4	7.2	0	0	-0.2	-0.2	0.4	0.6	-0.2	-14.8	0	-6
5.8	6	66.8	69.32	0	1.2	0	0	-4.6	-63.2	-0.4	0	4	51.2	0	-1	-36.4	0	1.4	-16.6	0	0	0	0	-0.8	11	0	0	-0.4	-0.4	0.4	0.4	0.6	17.6	0.2	10
4.4	6.6	23.8	27.1	-0.6	1.2	0	0	-2.6	-29.4	0	0	2.6	8.2	-0.6	-0.6	-24.6	0	1.8	11	0.2	0	0	0	-0.8	9.4	0	0	-0.4	-0.4	0.6	0.2	-0.2	-25	0.2	-6
5.6	8	38.2	8.47999999999998	-0.6	1.2	0	0	-6.2	-64	-0.2	0	5.6	38.2	-0.6	-0.4	-21	0	1.8	8.6	0.2	0	0	0	-1.2	-3.8	0	0	-0.6	-0.6	1	0.2	-0.4	-34.4	0	-4
5.4	6	41.6	-18.7	-0.4	1	0	0	-4.8	-22.4	0	0	5.8	39.8	-0.4	0.8	4.4	0	1	5.4	0.2	0	0	0	-1	-4.4	0	0	-0.4	-0.4	-0.2	0	-0.4	-19.2	0	-10
4.6	6.2	6.2	-20.24	-1	0.6	0	0	-4.2	-23.4	0	0	5	4.4	-1	1	17.2	0	0.4	3.4	0.2	0	0	0	-0.6	-1.2	0	0	-0.8	-1	0	0.4	-0.2	-15.4	0	-20
3.6	6.4	-11.6	6.23999999999998	-1	1	0	0	-6.4	-15.4	0	0	4	-13.4	-1	1.8	47	0	0.4	3.4	0	0	0	0	-1	-4.6	0	0	-1	-1.2	0.6	0.4	-0.6	-42	0	5
4.2	6.2	2.4	12.94	-0.8	0.2	0	0	-4.8	-25.2	0	0	4.6	0.6	-0.8	1.4	47	0	0.2	6.8	0	0	0	0	-0.2	1.4	0	0	-0.8	-1	1.4	0.8	-0.4	-33.4	0	9
